OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
69,201642575,SFO-2012CACDFLNU005650,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005650,,FIRST,,,,,,2012,7/25/2012 0:00:00,207,1324,Missing data/not specified/undetermined,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.808064000000002,-123.009444999999999,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
70,201642577,SFO-2012CACDFLNU005701,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005701,,SONOMA,,,,,,2012,7/27/2012 0:00:00,209,0957,Human,Equipment and vehicle use,,,,,1.000000000000000,B,38.333205000000000,-122.586870000000005,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
71,201642582,SFO-2012CACDFLNU005845,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005845,,SEAVIEW,,,,,,2012,7/31/2012 0:00:00,213,1417,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.554721999999998,-123.263333000000003,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
72,201642583,SFO-2012CACDFLNU005880,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005880,,ASTI RD  CLOVERDALE,,,,,,2012,8/1/2012 0:00:00,214,1023,Human,Equipment and vehicle use,,,,,1.000000000000000,B,38.765636000000001,-122.989465999999993,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
73,201642584,SFO-2012CACDFLNU005882,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005882,,BEACH,,,,,,2012,8/1/2012 0:00:00,214,1050,Human,Recreation and ceremony,,,,,0.250000000000000,A,38.453344000000001,-123.131210999999993,STATE,CA,SONOMA,06097,Sonoma County
74,201642586,SFO-2012CACDFLNU005902,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU005902,,ARNOLD,,,,,,2012,8/1/2012 0:00:00,214,2048,Human,Missing data/not specified/undetermined,,,,,1.000000000000000,B,38.318446999999999,-122.501078000000007,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
75,201642592,SFO-2012CACDFLNU006031,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006031,,RANCH,,,,,,2012,8/4/2012 0:00:00,217,1943,Human,Equipment and vehicle use,,,,,0.100000000000000,A,38.676788000000002,-122.735787000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
76,201642596,SFO-2012CACDFLNU006097,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006097,,ICE BOX CANYON RD / SUMME,,,,,,2012,8/6/2012 0:00:00,219,2018,Human,Missing data/not specified/undetermined,,,,,0.120000000000000,A,38.502260000000000,-122.930830999999998,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
77,201642599,SFO-2012CACDFLNU006162,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006162,,RIESLING ST / HEALDSBURG,,,,,,2012,8/8/2012 0:00:00,221,1541,Human,Smoking,,,,,1.000000000000000,B,38.798777999999999,-123.023555000000002,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
78,201642600,SFO-2012CACDFLNU006186,NONFED,ST-NASF,ST/C&L,USCALNU,Sonoma-Lake Napa Unit,CALNU,Sonoma-Lake Napa Unit,,LNU006186,,PORTER,,,,,,2012,8/9/2012 0:00:00,222,1258,Human,Missing data/not specified/undetermined,,,,,0.100000000000000,A,38.554524000000001,-122.675246999999999,MISSING/NOT SPECIFIED,CA,SONOMA,06097,Sonoma County
